Dataset;Clf;Ganho %;Ganho relativo %;DP;DP relativo %;VAR;VAR relativo %;Empates %;p_value;Status
sonar;KNN;6,35;13,56;12,8;25,87;163,77;669,32;10,0;0,014467448262045352;Significativo ✅
sonar;LogisticRegression;10,16;16,88;9,26;17,22;85,76;296,63;26,7;2,358622662695189e-05;Significativo ✅
sonar;MLP;8,73;13,92;9,77;16,75;95,36;280,49;6,7;4,626258095876601e-05;Significativo ✅
sonar;NaiveBayes;0,16;1,65;10,89;17,3;118,64;299,45;10,0;0,5814852213883294;Não Significativo (Inconclusivo)
sonar;RandomForest;13,81;25,38;12,74;26,95;162,28;726,56;3,3;4,4648063694786e-06;Significativo ✅
sonar;SVM;14,6;26,16;13,01;25,3;169,21;640,05;23,3;2,2055039610715988e-05;Significativo ✅
wine;AdaBoost;2,22;3,43;10,4;13,14;108,23;172,63;26,7;0,1759769362778032;Não Significativo (Inconclusivo)
wine;DecisionTree;5,74;8,96;11,78;17,04;138,85;290,48;20,0;0,00932741123919961;Significativo ✅
wine;GaussianProcess;2,59;2,87;4,24;4,69;17,97;21,97;50,0;0,002264698806207925;Significativo ✅
wine;KNN;2,41;2,8;4,9;5,4;24,04;29,16;33,3;0,015314658385847718;Significativo ✅
wine;LogisticRegression;5,74;8,35;10,39;16,86;107,99;284,22;36,7;0,0032391933307700724;Significativo ✅
wine;MLP;4,44;5,13;5,98;7,15;35,8;51,1;46,7;0,0004322672117530975;Significativo ✅
wine;NaiveBayes;4,26;7,32;11,89;19,47;141,32;379,12;33,3;0,051299496138974957;Não Significativo (Inconclusivo)
wine;RandomForest;7,78;9,34;6,67;8,34;44,44;69,59;20,0;1,5233736505643084e-05;Significativo ✅
wine;SVM;4,44;5,13;5,81;6,8;33,74;46,24;40,0;0,0004585496945014671;Significativo ✅
